species_name	bin_uri
Margarites pupillus	BOLD:ABW0495
Cryptobranchia concentrica	BOLD:ABA6568
Odostomia sp. KL01	BOLD:ABV1792
Trichotropis cancellata	BOLD:ABA6567
Ariadnaria insignis	BOLD:ABV3540
Cryptonatica affinis	BOLD:ABA4155
Cryptonatica aleutica	BOLD:ABV4320
Hiatella sp. N	BOLD:ABA8496
Onchidella borealis	BOLD:AAZ1996
Nucella emarginata	BOLD:ABA3756
Mopalia kennerleyi	BOLD:AAB0329
Macoma moesta	BOLD:AAY4793
Physa jennessi	BOLD:AAB0086
Stagnicola elodes	BOLD:ACE9698
Physa jennessi	BOLD:AAB0086
Arion subfuscus	BOLD:AAC0334
Lottia digitalis	BOLD:AAF4654
Lottia digitalis	BOLD:AAF4654
Physella ancillaria	BOLD:ABY6201
Gyraulus deflectus	BOLD:AAG1585
Arion fuscus	BOLD:AAC2849
Lepidozona radians	BOLD:AAE3899
Lirabuccinum dirum	BOLD:AAZ5772
Tonicella undocaerulea	BOLD:AAZ2196
Lepidozona interstincta	BOLD:AAC5916
Musculista senhousia	BOLD:AAZ6393
Musculista senhousia	BOLD:ABA1957
Musculista senhousia	BOLD:ABA1958
Onchidella borealis	BOLD:AAZ1996
Ennucula tenuis	BOLD:AAE3709
Mytilus trossulus	BOLD:AAB7148
Lacuna vincta	BOLD:AAZ5774
Buccinum undatum	BOLD:ABW0382
Euspira heros	BOLD:ABW0896
Crepidula fornicata	BOLD:AAA8797
Mytilus edulis	BOLD:AAA2184
Propebela turricula	BOLD:AAX7915
Dendronotus frondosus	BOLD:AAU0003
Physa ancillaria	BOLD:ABY6201
Mytilus trossulus	BOLD:AAB7148
Succinea putris	BOLD:AAN9260
Ecrobia truncata	BOLD:AAG1562
Nucella lapillus	BOLD:AAA2142
Trachycystis loveni	BOLD:ABW2135
Eobania vermiculata	BOLD:ABW2103
Gabbia wykoffi	BOLD:ABW6998
Gibbula umbilicalis	BOLD:AAV4000
Arion fuscus	BOLD:AAC2849
Lymnaea stagnalis	BOLD:AAD4570
Alcithoe flemingi	BOLD:AAJ4059
Aeneator recens	BOLD:AAJ1855
Tawera spissa	BOLD:AAD8743
Mytilus galloprovincialis	BOLD:AAA4735
Haustrum albomarginata	BOLD:AAL5714
Haustrum albomarginata	BOLD:AAL5714
Spisula aequilatera	BOLD:AAE9105
Paphies ventricosum	BOLD:AAK5282
Magnoteuthis magna	BOLD:AAE9841
Rossia pacifica	BOLD:AAF7775
Tonicella marmorea	BOLD:AAC6940
Retusa obtusa	BOLD:AAG1580
Stagnicola elodes	BOLD:AAG1549
Physa ancillaria	BOLD:ABY6201
Physa jennessi	BOLD:AAB0086
Lymnaea stagnalis	BOLD:AAD4570
Physella acuta	BOLD:AAB6433
Physa jennessi	BOLD:AAB0086
Physa jennessi	BOLD:AAB0086
Paphies donacina	BOLD:AAD0520
Physella anatina	BOLD:AAB6433
Physella acuta	BOLD:AAB6434
Portlandia arctica	BOLD:AAF0100
Pleurobranchaea meckeli	BOLD:ACK0005
Succinea putris	BOLD:AAN9260
Radix auricularia	BOLD:AAD6712
Macoma balthica	BOLD:AAB2515
Musculus discors	BOLD:ACR1312
Tonicella marmorea	BOLD:AAC6940
Stagnicola elodes	BOLD:ACE9699
Oxychilus cellarius	BOLD:AAO4769
Cepaea nemoralis	BOLD:AAU0190
Anguispira alternata	BOLD:AAM0465
Mesodon thyroidus	BOLD:AAO4922
Euconulus fulvus	BOLD:AAG1555
Arion subfuscus	BOLD:AAC0335
Striatura exigua	BOLD:ACI7540
Arion fuscus	BOLD:AAC2849
Novisuccinea ovalis	BOLD:AAV0533
Vallonia costata	BOLD:AAO0250
Anguispira alternata	BOLD:AAM0465
Marginella cleryi	BOLD:ACK0218
Euconulus fulvus	BOLD:AAG1555
Stagnicola elodes	BOLD:ACE9699
Cylichna alba	BOLD:ACM7937
Philine finmarchica	BOLD:ACM7384
Philine sp. 2MM	BOLD:ACH9304
Gastropteron pacificum	BOLD:ABA2467
Odostomia tenuisculpta	BOLD:ABW8983
Deroceras reticulatum	BOLD:AAI9663
Vertigo arthuri	BOLD:AAM3513
Thyasira debilis	BOLD:AAC4705
Dacrydium sp.	BOLD:AAD4716
Dacrydium sp.	BOLD:AAD4716
Cuspidaria sp. 3	BOLD:ABA8810
Trochulus hispidus	BOLD:ACI9420
Cepaea nemoralis	BOLD:ACH6475
Cepaea nemoralis	BOLD:AAG1590
Cepaea nemoralis	BOLD:AAU0190
Cepaea nemoralis	BOLD:ADK1000
Cepaea nemoralis	BOLD:ADK1000
Arion subfuscus	BOLD:AAC0334
Nassarius elatus	BOLD:ACJ9399
Cepaea nemoralis	BOLD:AAU0190
Arion subfuscus	BOLD:AAC0335
Deroceras laeve	BOLD:AAG1548
Arion subfuscus	BOLD:AAC0334
Deroceras reticulatum	BOLD:AAI9663
Succinea putris	BOLD:AAN9260
Arion subfuscus	BOLD:AAC0334
Trochulus hispidus	BOLD:ACI9420
Trochulus hispidus	BOLD:ACI9420
Cepaea nemoralis	BOLD:AAU0190
Acteon tornatilis	BOLD:ACM1536
Cumanotus beaumonti	BOLD:AAZ1060
Abra longicallus	BOLD:ACM2016
Clausinella fasciata	BOLD:AAR9476
Dosinia exoleta	BOLD:ACM1462
Jorunna tomentosa	BOLD:AAE2190
Tenellia adspersa	BOLD:ACW9066
Hiatella sp. L	BOLD:ABA8494
Nacella magellanica	BOLD:AAA3754
Dacrydium albidum	BOLD:AAC7816
Limopsis tenella	BOLD:AAJ2212
Limopsis tenella	BOLD:AAJ2212
Dacrydium sp.	BOLD:AAD4716
Cuspidaria sp. 1	BOLD:ABA8810
Limatula sp. 3	BOLD:AAJ2632
Prophysaon andersoni	BOLD:AAU1161
Petaloconchus compactus	BOLD:AAG1574
Clinocardium ciliatum	BOLD:AAE8751
