processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ACANT036-18	FA1-1	9495105		FA1-1	Naturhistorisches Museum Wien		BOLD:AAF1747	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis			Susanne Reier	morphology	Zoega, 1776		vouchered:registered collection			S. Reier							immature		S			host: Alburnus alburnus											Austria	Vienna	Danube	Freudenau										
BBHEM009-09	09BBHEM-0009	1153458		OK090518-27	Centre for Biodiversity Genomics		BOLD:AAG8863	20	Arthropoda	82	Insecta	133	Hemiptera	87528	Coreidae	87529	Coreinae	376206	Acanthocephala					Angela Telfer	BIN Taxonomy Match						J.Cossey									S					freehand	33.882	-96.806			200				United States	Oklahoma	Marshall Co.	UOBS, near Lake Texoma	laneway	520393	http://www.boldsystems.org/pics/BBHEM/IMG_1401+1246552882.JPG	Lateral		CBG Photography Group	2009	CreativeCommons - Attribution Non-Commercial Share-Alike	Centre for Biodiversity Genomics	Jaclyn McCormick
BBHEM175-09	09BBHEM-0175	1163755		AZ090527-05	Centre for Biodiversity Genomics			20	Arthropoda	82	Insecta	133	Hemiptera	87528	Coreidae	87529	Coreinae	376206	Acanthocephala					Angela Telfer	BOLD ID Engine Manual (April 2016)						S.McCubbin, K.Perez, A.Borisenko														freehand	34.67	-111.71			1165				United States	Arizona	Yavapai Co.	Beaver Creek, 25 km S of Sedona	chaparral	527364	http://www.boldsystems.org/pics/BBHEM/IMG_2910+1248195366.JPG	Lateral		CBG Photography Group	2009	CreativeCommons - Attribution Non-Commercial Share-Alike	Centre for Biodiversity Genomics	Jaclyn McCormick
GBMHH5988-14	KF835287	5171697		KF835287	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																								isolate: Atlantic_B																						
GBMHH6000-14	KF835299	5171709		KF835299	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																								isolate: Both_I																						
GBMIN135081-18	LN994845	8736281		LN994845	Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												France		Western-Europe	Ouche	Dijon									
GBMIN135114-18	LN994842	8736314		LN994842	Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												France		Western-Europe	Ouche	Dijon									
GBMIN135124-18	KX646772	8736324		KX646772	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Coquimbo	Panul											
GBMIN135126-18	KU928254	8736326		KU928254	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Uruguay	Rocha	Cabo Polonio											
GBMIN135127-18	KX646778	8736327		KX646778	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Calfuco											
GBMIN135147-18	KX646780	8736347		KX646780	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Chaihuin											
GBMIN135157-18	KX646775	8736357		KX646775	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Chaihuin											
GBSP0668-06	AY690520	488776			Mined from GenBank, NCBI		BOLD:ACF0160	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Apalachicola River,FL 29.7820 N, 85.0466 W											
GBSP0677-06	AY690529	488785			Mined from GenBank, NCBI		BOLD:AAA3861	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Ochlockonee River,FL 30.3833 N, 84.6559 W											
GBSP13095-19	AY390502	10193383			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Ireland													
GBSP13120-19	KY077083	10193408			Mined from GenBank, NCBI		BOLD:ADX6810	11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae			939096	Mayarhynchus	939097	Mayarhynchus karlae																																														
GBSP13180-19	KM659374	10193468			Mined from GenBank, NCBI		BOLD:ADW9908	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25305	Oligacanthorhynchus	25306	Oligacanthorhynchus tortuosa					Leidy, 1850																																									
GBSP13260-19	KX688123	10193548			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			657218	Pseudocorynosoma	939134	Pseudocorynosoma anatarium																																														
GBSP13276-19	KX688118	10193564			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			657218	Pseudocorynosoma	939134	Pseudocorynosoma anatarium																																														
GBSP13387-19	LC100054	10193675			Mined from GenBank, NCBI		BOLD:ADW1093	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			938996	Pseudoacanthocephalus	938998	Pseudoacanthocephalus toshimai																																	Japan													
GBSP13427-19	LN994899	10193715			Mined from GenBank, NCBI		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Bulgaria													
GBSP13458-19	LN994930	10193746			Mined from GenBank, NCBI		BOLD:ADX0340	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Italy													
GBSP13461-19	LN994933	10193749			Mined from GenBank, NCBI		BOLD:ADX0340	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Italy													
