bin_uri	species_per_bin
BOLD:AAA0001	4
BOLD:AAA0002	5
BOLD:AAA0003	1
BOLD:AAA0004	1
BOLD:AAA0006	1
BOLD:AAA0007	3
BOLD:AAA0008	2
BOLD:AAA0009	2
BOLD:AAA0010	2
BOLD:AAA0011	2
BOLD:AAA0012	2
BOLD:AAA0013	1
BOLD:AAA0014	1
BOLD:AAA0015	2
BOLD:AAA0016	2
BOLD:AAA0017	2
BOLD:AAA0018	2
BOLD:AAA0019	1
BOLD:AAA0020	2
BOLD:AAA0021	1
BOLD:AAA0022	2
BOLD:AAA0023	1
BOLD:AAA0024	1
BOLD:AAA0025	1
BOLD:AAA0026	1
BOLD:AAA0027	2
BOLD:AAA0028	1
BOLD:AAA0029	1
BOLD:AAA0030	1
BOLD:AAA0031	1
BOLD:AAA0032	1
BOLD:AAA0033	1
BOLD:AAA0034	1
BOLD:AAA0035	1
BOLD:AAA0036	1
BOLD:AAA0037	1
BOLD:AAA0038	2
BOLD:AAA0039	1
BOLD:AAA0040	2
BOLD:AAA0041	1
BOLD:AAA0042	1
BOLD:AAA0043	1
BOLD:AAA0044	1
BOLD:AAA0045	2
BOLD:AAA0046	2
BOLD:AAA0047	1
BOLD:AAA0048	2
BOLD:AAA0049	2
BOLD:AAA0050	1
BOLD:AAA0051	2
BOLD:AAA0052	1
BOLD:AAA0053	2
BOLD:AAA0054	1
BOLD:AAA0055	1
BOLD:AAA0056	1
BOLD:AAA0057	2
BOLD:AAA0058	1
BOLD:AAA0059	1
BOLD:AAA0060	1
BOLD:AAA0061	3
BOLD:AAA0062	2
BOLD:AAA0063	1
BOLD:AAA0064	1
BOLD:AAA0065	3
BOLD:AAA0066	1
BOLD:AAA0067	1
BOLD:AAA0068	1
BOLD:AAA0069	1
BOLD:AAA0070	2
BOLD:AAA0071	1
BOLD:AAA0072	1
BOLD:AAA0073	3
BOLD:AAA0074	1
BOLD:AAA0075	2
BOLD:AAA0076	1
BOLD:AAA0077	2
BOLD:AAA0078	2
BOLD:AAA0079	2
BOLD:AAA0080	1
BOLD:AAA0081	1
BOLD:AAA0082	2
BOLD:AAA0083	2
